Results,,,,,,
Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
7,7000,1024,146.29,20.145,117.55,99278
8,8000,1024,128,14.774,138.62,135370
9,9000,1024,113.78,11.516,166.73,173680
10,10000,1024,102.4,12.725,133.29,157180
1,1000,2048,2048,203.64,160.91,9821.1
2,2000,2048,1024,81.247,201.66,24616
3,3000,2048,682.67,48.04,227.81,41632
4,4000,2048,512,38.19,214.51,52370
5,5000,2048,409.6,20.129,327.48,99357
6,6000,2048,341.33,16.978,323.25,117800
7,7000,2048,292.57,17.134,276.4,116730
8,8000,2048,256,13.221,309.81,151270
9,9000,2048,227.56,14.073,263.77,142120
10,10000,2048,204.8,15.61,217.3,128130
1,1000,4096,4096,418.6,156.56,4777.8
2,2000,4096,2048,165.74,197.7,12067
3,3000,4096,1365.3,105.06,208.04,19037
4,4000,4096,1024,50.978,321.39,39233
5,5000,4096,819.2,35.842,366.05,55800
6,6000,4096,682.67,33.471,327.93,59753
7,7000,4096,585.14,24.482,382.97,81691
8,8000,4096,512,14.36,570.49,139280
9,9000,4096,455.11,20.66,353.15,96807
10,10000,4096,409.6,15.056,441.02,132840
1,1000,8192,8192,465.52,281.56,4296.3
2,2000,8192,4096,213.15,307.46,9382.9
3,3000,8192,2730.7,142.86,305.98,14000
4,4000,8192,2048,84.324,388.6,23718
5,5000,8192,1638.4,49.495,530.16,40408
6,6000,8192,1365.3,60.809,359.68,32890
7,7000,8192,1170.3,45.401,413.03,44052
8,8000,8192,1024,34.208,478.96,58466
9,9000,8192,910.22,27.563,529.41,72562
10,10000,8192,819.2,23.307,563.6,85810
1,1000,16384,16384,527.75,496.72,3789.6
2,2000,16384,8192,263.55,497.34,7588.8
3,3000,16384,5461.3,180.29,484.73,11093
4,4000,16384,4096,125.54,522.04,15931
5,5000,16384,3276.8,83.43,629.03,23972
6,6000,16384,2730.7,83.219,525.65,24033
7,7000,16384,2340.6,70.811,529.64,28244
8,8000,16384,2048,47.732,686.5,41900
9,9000,16384,1820.4,39.579,737.35,50531
10,10000,16384,1638.4,29.46,891.77,67888
1,1000,32768,32768,735.11,713.22,2720.7
2,2000,32768,16384,327.54,800.34,6106.1
3,3000,32768,10923,220.09,794.14,9087.1
4,4000,32768,8192,162.67,805.74,12295
5,5000,32768,6553.6,126.95,826.28,15754
6,6000,32768,5461.3,102.39,853.71,19534
7,7000,32768,4681.1,83.383,898.41,23986
8,8000,32768,4096,77.41,846.61,25836
9,9000,32768,3640.9,65.473,891.48,30547
10,10000,32768,3276.8,59.913,877,33382
1,1000,65536,65536,1037,1011.1,1928.6
