Results
Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
3,3000,1.04858e+06,3.4953e+05,3607.6,4650.5,554.38
4,4000,1.04858e+06,2.6214e+05,2880.4,5824.7,694.36
5,5000,1.04858e+06,2.0972e+05,2513.8,6674,795.6
6,6000,1.04858e+06,1.7476e+05,2090.6,8025,956.66
7,7000,1.04858e+06,1.498e+05,1840.8,9114.2,1086.5
8,8000,1.04858e+06,1.3107e+05,1668.7,10054,1198.5
9,9000,1.04858e+06,1.1651e+05,1540,10894,1298.7
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
0,0,0,-nan,0,0,0
